day,hour,minutes,1A,2A,3A,4A,5A,6A,7A,1B,2B,3B,4B,5B,6B,7B,1C,2C,3C,4C,5C,6C,7C,1D,2D,3D,4D,5D,6D,7D,Aspiranter,Crew,Marbarudvalget
8,15,25,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0
8,15,26,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,0
8,15,27,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,0
8,15,28,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,0
8,15,29,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,0
8,15,30,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,0
8,15,34,13,0,0,5,0,0,0,11,500,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,6,0,0,5
8,15,40,13,0,0,5,0,0,0,11,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,5
8,16,33,13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
8,16,34,13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
8,16,35,13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
8,16,37,13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
8,16,38,13,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
